round,left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
54,-435.49846550024,82.5655913986001,-268.683769256517,-85.2922502436378,-166.814696243723,167.857841642238,236.650370554699,-44.8214145816059,-0.049020274500638,-0.0499268589453866,0.000906584444748577,3
55,-441.733902398222,75.4631076601597,-277.949132700804,-90.1671151234987,-163.784769697418,165.630222783658,232.935230234073,-44.6790201739732,-0.0205143819488604,-0.0304827404560248,0.00996835850716443,3
56,-450.621129733983,75.7428933941779,-295.559550059345,-94.3601957686378,-155.061579674638,170.103089162816,230.172010535441,-42.3514924171774,-0.0292386851178218,-0.0579376928806454,0.0286990077628236,3
57,-463.872865788652,73.6318156226747,-316.421002958676,-99.079763569635,-147.451862829975,172.71157919231,227.093243931059,-40.4889184758427,-0.0435977750009648,-0.0686334926945566,0.0250357176935919,3
58,-458.390458654116,74.0832079286007,-338.207284887415,-105.22910771411,-120.183173766701,179.312315642711,215.86315525765,-33.8317704453803,0.0180369388379839,-0.0716761497299923,0.0897130885679762,3
59,-376.423955298808,78.9863330036473,-365.462634497029,-114.318790531573,-10.9613208017789,193.30512353522,193.615653650954,-3.24546792795729,0.269667095402316,-0.0896692022049445,0.359336297607261,4
60,-318.385428762663,76.4258344033631,-399.73664766382,-118.285389928974,81.3512189011572,194.711224332338,211.022467281808,22.6753898957058,0.190944840047505,-0.11276037405676,0.303705214104265,4
61,-289.822624321883,68.061971159757,-431.126101267154,-119.180180742197,141.303476945272,187.242151901954,234.576844649461,37.0402610761279,0.0939706855213908,-0.103270268133607,0.197240953654998,4
62,-282.049526350623,61.5443213668965,-461.525982480957,-117.535999521896,179.476456130334,179.080320888792,253.538083203957,45.0633006253874,0.0255732362170043,-0.100014607576534,0.125587843793538,4
63,-307.141212148224,69.9357258606357,-480.173522915071,-111.275340725366,173.032310766847,181.211066586001,250.554647178118,43.6773924871205,-0.0825508195519285,-0.0613497936280961,-0.0212010259238324,1
64,-315.208820608991,71.4866759973545,-487.542767284799,-102.509184172347,172.333946675808,173.995860169701,244.894974495302,44.7250600544263,-0.0265421660239377,-0.0242445711741544,-0.00229759484978323,1
65,-332.833752416033,75.039713467444,-481.96106468258,-95.9410079036174,149.127312266547,170.980721371061,226.877416999605,41.0945424893667,-0.0579854449379915,0.0183636176550714,-0.0763490625930629,1
66,-357.609769179182,81.2135535389922,-452.874930914561,-91.0815872996475,95.2651617353787,172.29514083864,196.878304028338,28.9390153281615,-0.0815122788292624,0.0956924217653232,-0.177204700594586,2
67,-389.476058674494,85.7441218024226,-375.29392032582,-87.6917446313371,-14.1821383486737,173.43586643376,174.014748839775,-4.67476995394526,-0.1048390425074,0.255238968693756,-0.360078011201156,2
68,-424.399338030167,86.3346763809495,-306.29121026633,-88.2494311634951,-118.108127763838,174.584107544445,210.782210945253,-34.0787969445715,-0.114896438426128,0.227016642590818,-0.341913081016946,2
69,-451.569710560918,82.2568452359136,-271.495146237982,-85.2005963784465,-180.074564322936,167.45744161436,245.904134711318,-47.0792056859065,-0.089389630415312,0.114477904190725,-0.203867534606037,2
70,-467.302931409701,82.5010319662328,-279.666710004057,-84.6807076723136,-187.636221405644,167.181739638546,251.310735250125,-48.2993251371336,-0.0517617782135117,-0.0268841755532787,-0.024877602660233,3
71,-481.048153664403,76.8603572653779,-287.752021517527,-87.0197245628736,-193.296132146876,163.880081828252,253.416802763702,-49.7080973901656,-0.0452213283396671,-0.0266004084840469,-0.0186209198556201,3
72,-492.216312355397,72.890069283361,-306.816473778266,-93.2170344123232,-185.399838577132,166.107103695684,248.927037588518,-48.1415718258405,-0.0367428741242934,-0.0627214198012584,0.025978545676965,3
73,-499.207906484198,71.7449842277157,-333.313361092737,-99.844471241184,-165.894545391461,171.5894554689,238.671199391031,-44.0332479596812,-0.0230021143243457,-0.0871738862437803,0.0641717719194346,4
74,-426.529221900049,67.7295827683103,-370.33998620594,-109.782364946116,-56.1892356941093,177.511947714426,186.192700687372,-17.5645462617466,0.239110477660743,-0.121816376667254,0.360926854327997,4
75,-354.062177402092,64.6851215525382,-408.205676528654,-116.174695977373,54.1434991265614,180.859817529912,188.790338986456,16.6659759222598,0.238414188750301,-0.124576873560979,0.36299106231128,4
76,-294.227074148982,66.3646154075301,-443.3960270933,-116.754501586969,149.168952944319,183.119116994499,236.186340695962,39.16628284193,0.196855518252618,-0.115775093904173,0.31263061215679,4
77,-272.48629970847,56.3416314218018,-479.330533645846,-116.099048827925,206.844233937376,172.440680249727,269.295980880013,50.1829082397529,0.0715264315931079,-0.118223342585871,0.189749774178979,4
78,-292.207070434169,62.7398356012966,-507.35100681608,-110.484468325466,215.143936381911,173.224303926763,276.21291213992,51.1605324825363,-0.0648806859265643,-0.0921864335100531,0.0273057475834888,1
79,-303.5362370369,63.5954552299226,-515.480550558168,-102.722678073459,211.944313521268,166.318133303382,269.410678146808,51.8778144155326,-0.0372725848490104,-0.0267459310588372,-0.0105266537901732,1
80,-318.560151868072,67.9125132967735,-499.302177464619,-96.668276039379,180.742025596547,164.580789336152,244.447368640478,47.679508659948,-0.0494281847858217,0.0532263144318937,-0.102654499217715,1
81,-335.873034008699,73.3180599771671,-455.996595075248,-96.6161200635029,120.123561066549,169.93418004067,208.104049622788,35.2558360404757,-0.0569588118169147,0.142473939226434,-0.199432751043349,2
82,-356.072449402973,79.7067676058534,-386.820935654492,-86.7955150037186,30.7484862515193,166.502282609572,169.317688151468,10.4631047745465,-0.0664554111157645,0.227585640291035,-0.294041051406799,2
83,-388.000142601929,84.9258657907889,-324.217609628187,-85.0373156262887,-63.782532973742,169.963181417078,181.537033549524,-20.569739570362,-0.105041058669257,0.205962879968879,-0.311003938638136,2
84,-426.380947084419,83.2498940538957,-286.387482855518,-88.5801598860423,-139.993464228901,171.830053939938,221.638754426681,-39.1704095222633,-0.126271582174636,0.124459870653083,-0.250731452827719,2
85,-461.94844110538,81.1057549366251,-278.829685445139,-87.4532702834919,-183.118755660241,168.559025220117,248.88676874778,-47.3707354310439,-0.117015883449304,0.0248649044654416,-0.141880787914746,2
86,-488.847563611871,78.9718438256591,-300.386586655326,-90.7804563049764,-188.460976956545,169.752300130635,253.64026343437,-47.9897137716518,-0.0884972267726588,-0.0709214947236054,-0.0175757320490534,3
87,-499.221703993209,69.3081841495372,-310.83838797935,-98.511993537091,-188.383316013859,167.820177686628,252.293253558531,-48.3039396623431,-0.0341305800468809,-0.0343860819895396,0.000255501942658666,3
88,-486.939984628238,63.358722300686,-342.74491943263,-109.94807889683,-144.195065195608,173.306801197516,225.449471430032,-39.761199986941,0.0404064520520218,-0.104971437223224,0.145377889275246,3
89,-401.413984380209,61.7366421615213,-380.339859130719,-120.901521263384,-21.0741252494894,182.638163424905,183.84998638633,-6.5820966664514,0.281377722900879,-0.12368611292667,0.40506383582755,4
90,-335.661933354213,62.3393590541975,-411.242091611569,-123.209453447406,75.5801582573556,185.548812501604,200.351496482962,22.1626903903001,0.216322081473504,-0.10166732669362,0.317989408167124,4
91,-298.087151115178,64.3864839176885,-443.984178935555,-123.805056855157,145.897027820377,188.191540772845,238.121814929413,37.7849242518935,0.123619795550531,-0.107720388507907,0.231340184058439,4
92,-283.105537668617,60.3792417179045,-478.900851546158,-123.162271886338,195.795313877541,183.541513604243,268.371556154041,46.8501946829852,0.0492890146242017,-0.114874702452526,0.164163717076727,4
93,-296.677794105731,62.9837310936544,-508.856054067567,-116.166640004231,212.178259961836,179.150371097885,277.694921568513,49.824294327439,-0.0446522764986908,-0.0985516293298543,0.0538993528311635,1
94,-308.633047720413,65.312571340567,-523.355490247839,-101.95565253989,214.722442527426,167.268223880457,272.184470617018,52.0815020504,-0.0393323904899805,-0.0477026673049121,0.0083702768149316,1
95,-331.801953231875,72.3987294057992,-507.252068976151,-95.3574281282349,175.450115744276,167.756157534034,242.744457208118,46.2842349965288,-0.076224935762396,0.0529797254074871,-0.129204661169883,1
96,-362.723360919716,84.2055941427913,-438.255297655684,-91.2542078242683,75.5319367359678,175.45980196706,191.026740466894,23.2909114686438,-0.101730412492839,0.2269971043351,-0.328727516827939,2
97,-397.620782329755,94.42594451974,-361.859348746456,-79.3054093453257,-35.7614335832989,173.731353865066,177.373795831632,-11.631486892639,-0.114811366636959,0.251340154813632,-0.366151521450592,2
98,-441.712909272041,94.0412608764152,-300.851276356622,-74.433849874197,-140.861632915419,168.475110750612,219.603876491353,-39.8989141861218,-0.145061644890411,0.200714548065391,-0.345776192955802,2
99,-481.695451818161,90.3469781329471,-284.66390386433,-67.5550474770266,-197.031547953831,157.902025609974,252.496496175324,-51.2911471137698,-0.131541247629829,0.0532559221572433,-0.184797169787073,2
100,-517.919513267636,88.5370713355228,-308.284410112958,-66.7173855325908,-209.635103154678,155.254456868114,260.865526377261,-53.4765813924071,-0.1191759686565,-0.0777106873083097,-0.0414652813481899,3
101,-542.80484261584,82.4395909908008,-329.605830838537,-69.4798714001141,-213.199011777302,151.919462390915,261.788734814856,-54.5274244602362,-0.0818719136324531,-0.0701467716878681,-0.011725141944585,3
102,-515.426784850743,74.2512178207669,-365.492184175201,-78.2231975291607,-149.934600675543,152.474415349928,213.843007405051,-44.5188065417706,0.0900729079934849,-0.118064920092174,0.208137828085658,4
103,-420.64156501953,85.7202110462793,-404.63033420284,-89.4568450163136,-16.0112308166902,175.177056062593,175.907249660218,-5.22233967513707,0.311840250256302,-0.128763224065116,0.440603474321418,4
104,-329.927260649104,85.4967250356316,-435.211337661697,-94.216540407351,105.284077012593,179.713265442983,208.282487618555,30.3636817619933,0.29844707251905,-0.100610493795134,0.399057566314184,4
105,-290.525320913429,73.3010249749612,-468.758062035001,-98.2749191717944,178.232741121572,171.575944146756,247.39687673364,46.0901968924925,0.129631083513196,-0.110367617888939,0.239998701402135,4
106,-289.424181934849,71.7562171550026,-498.766409834707,-101.614201833455,209.342227899858,173.370418988458,271.81146142558,50.369551968471,0.0036227109591439,-0.0987264755444167,0.102349186503561,4
107,-306.356405841218,74.8226183630449,-509.864783291493,-103.246492067792,203.508377450275,178.069110430837,270.414991784985,48.81418961727,-0.0557064587681528,-0.0365132830030367,-0.0191931757651161,1
108,-321.837567906508,75.9959426238993,-488.568530978231,-104.891271858647,166.730963071722,180.887214482546,246.006907240587,42.6680001717158,-0.0509325131206676,0.0700639684405968,-0.120996481561264,2
109,-343.556276724874,80.5877383449957,-420.863047065009,-102.496547121729,77.3067703401352,183.084285466725,198.736489667307,22.891751216476,-0.0714538364232675,0.222748811310667,-0.294202647733935,2
110,-381.011788443552,84.2188077435966,-358.011630622983,-99.3879851555681,-23.0001578205694,183.606792899165,185.04178354763,-7.14016624886236,-0.123227399468289,0.206779089262505,-0.330006488730794,2
111,-418.158103722886,80.9709647420973,-314.186083218578,-104.915112543557,-103.972020504308,185.886077285655,212.987827765806,-29.2196790815996,-0.122210153370265,0.144184606994062,-0.266394760364326,2
112,-453.907101184206,73.3014941001162,-302.516996211972,-99.5370563376658,-151.390104972233,172.838550437782,229.765376854167,-41.2152713432714,-0.117613023787902,0.0383909117780417,-0.156003935565943,3
113,-483.814324364859,62.1701787506313,-323.375555968978,-104.673111534529,-160.438768395881,166.84329028516,231.467669270603,-43.8789326055114,-0.0983937788795931,-0.0686239743516301,-0.029769804527963,3
114,-495.408938767155,45.0180072932844,-335.431914818053,-112.915514032117,-159.977023949102,157.933521325401,224.801346414679,-45.3682874474525,-0.0381458993635908,-0.0396650233799135,0.00151912401632267,3
115,-487.230168378072,34.5273657645424,-349.79069016127,-117.449191253994,-137.439478216801,151.976557018537,204.906037138282,-42.1245067584847,0.0269078851055288,-0.0472398977855012,0.07414778289103,3
116,-418.203236478733,45.4172413644285,-368.725562119633,-124.742727063262,-49.4776743591,170.15996842769,177.207378839871,-16.2129267327641,0.227096331645855,-0.0622951048758608,0.289391436521716,4
117,-359.355664898674,53.8635469591159,-389.785244321178,-130.426879722985,30.4295794225038,184.2904266821,186.785761423351,9.37594028035004,0.193606571585522,-0.0692856605675712,0.262892232153093,4
118,-307.8859365833,54.0432661975379,-409.766643935755,-131.414532393327,101.880707352456,185.457798590865,211.599323223886,28.7820661896823,0.169333710330278,-0.0657381463837573,0.235071856714036,4
119,-285.3831789621,45.5042188210482,-434.798956564627,-133.521758309749,149.415777602527,179.025977130797,233.185280590788,39.8485068626639,0.0740333311517097,-0.0823554837830402,0.15638881493475,4
120,-282.725677403806,47.0424751825054,-464.490325925499,-137.45997959401,181.764648521693,184.502454776516,258.997187766151,44.5717283352537,0.00874309256728736,-0.0976836269244757,0.106426719491763,4
121,-309.647719546838,50.3159601522657,-484.186022018054,-134.968782758496,174.538302471215,185.284742910761,254.546763847118,43.2893182698461,-0.0885726316217215,-0.0647981912096774,-0.0237744404120441,1
122,-332.137655903662,55.2318031340745,-476.91372486098,-130.276493308031,144.776068957318,185.508296442106,235.315613998702,37.9695127118948,-0.0739911496143504,0.0239256180387429,-0.0979167676530933,1
123,-363.488980600567,65.1200330007864,-408.139439834237,-118.778910980496,44.6504592336698,183.898943981282,189.241869329196,13.6472672691675,-0.103144825287729,0.22626513175924,-0.329409957046968,2
124,-400.881249684503,74.1548738533497,-344.389096114503,-106.116392154089,-56.4921535699993,180.271266007438,188.915570461783,-17.3995841844052,-0.123019333283706,0.20973653038826,-0.332755863671966,2
125,-438.965108048876,71.6739197478658,-299.550054229389,-101.675204829776,-139.415053819487,173.349124577642,222.455560108812,-38.8077840385154,-0.125294639229829,0.147518970442925,-0.272813609672754,2
126,-479.867025543258,63.0810062974127,-291.82033090727,-94.171898944016,-188.046694635988,157.252905241429,245.132689722098,-50.096151356446,-0.134565960917995,0.0254305350504439,-0.159996495968439,2
127,-512.885795535696,51.680771593309,-313.799504344813,-99.5872588080069,-199.086291190882,151.268030401316,250.034734310324,-52.7720168648857,-0.108630665370957,-0.0723107564385615,-0.036319908932396,3
128,-524.809230148787,34.9001026130663,-321.047225190312,-104.371123741394,-203.762004958475,139.271226354461,246.810512650845,-55.6474133928515,-0.0392277070231203,-0.0238447627834046,-0.0153829442397158,3
129,-513.628631314618,23.3717599616517,-334.960163652333,-109.675971557151,-178.668467662285,133.047731518803,222.764719376944,-53.3263218057036,0.03678380178546,-0.0457731091358224,0.0825569109212824,3
130,-449.82625702368,38.0794801717874,-356.059495914484,-115.683067909313,-93.7667611091964,153.7625480811,180.097547682642,-31.3754795964689,0.209907709253214,-0.0694161079605719,0.279323817213786,4
131,-389.057945220112,54.4546051656461,-380.928637974936,-123.8414030519,-8.12930724517616,178.296008217546,178.481237620646,-2.61056118340356,0.199925743636218,-0.0818186579890917,0.28174440162531,4
132,-322.437806494641,64.8988005860865,-398.942496424329,-125.138923484452,76.5046899296885,190.037724070539,204.859230085315,21.9285488796199,0.219178061402979,-0.0592650007769534,0.278443062179932,4
